"Id do Aeródromo","CIAD","Código OACI","Id to Tipo de Uso","Tipo de Uso","Nome","Município","UF","País","Município Servido","UF Servido","Latitude","Longitude","Altitude","Operação Diurna","Operação Noturna","Id da Pista 1","Designação (Pista 1)","Comprimento (Pista 1)","Largura (Pista 1)","Resistência (Pista 1)","Superfície (Pista 1)","Aeronave Crítica (Pista 1)","Tipo Operação por Cabeceira (Pista 1)","Luzes de Eixo de Pista (Pista 1)","Luzes de Borda de Pista (Pista 1)","Id da Pista 2","Designação (Pista 2)","Comprimento (Pista 2)","Largura (Pista 2)","Resistência (Pista 2)","Superfície (Pista 2)","Aeronave Crítica (Pista 2)","Tipo Operação por Cabeceira (Pista 2)","Luzes de Eixo de Pista (Pista 2)","Luzes de Borda de Pista (Pista 2)","Tipo de Cadastro","Situação","Classe RBAC 153","Perfil Operacional RBAC 153","Classe RBAC 107","Tipo de Operação Internacional (nomenclatura OACI)","Tipo de Operação Internacional (conforme AIP BRASIL)","Certificação Operacional","Portaria de Certificação","Validade do Cadastro","Portaria de Cadastro","Restrição","Referência Cautelar","Amazônia Legal"
6164,"SC0182","",1,"Privado","Marrecão","BRUSQUE","SC","Brasil","","","27°03'58,0""S","048°53'23,0""W","17 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
6341,"AB0068","",1,"Privado","WEST CARINA","","","","","","","","36 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Águas Brasileiras","Cadastrado",,"","","","","não","","02/08/2025","https://pergamum.anac.gov.br/arquivos/PA2022-9154.pdf"," ","","N/A"
7841,"SP1321","",1,"Privado","Aeródromo privado PFM","GUARUJÁ","SP","Brasil","","","23°55'05,0""S","046°12'51,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
9704,"SC0203","",1,"Privado","Heliponto Privado Fazzenda Park Hotel","GASPAR","SC","Brasil","","","26°58'53,0""S","048°55'50,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
6286,"AB0039","",1,"Privado","PETROBRAS 35","","","","","","","","23 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Águas Brasileiras","Cadastrado",,"","","","","não","","12/11/2023","https://pergamum.anac.gov.br/arquivos/PA2020-3325.pdf"," ","","N/A"
16943,"SP1445","",1,"Privado","KHIM","CAMPOS DO JORDÃO","SP","Brasil","","","22°42'02,0""S","045°30'15,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","31/08/2033","https://pergamum.anac.gov.br/arquivos/PA2023-12.110.pdf"," ","","não"
16483,"PR0235","",1,"Privado","VIAER","LONDRINA","PR","Brasil","","","23°20'47,0""S","051°10'00,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
4396,"CE0031","SIAH",1,"Privado","Haras RM","AQUIRAZ","CE","Brasil","","","03°54'47,0""S","038°26'05,0""W","24 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","20/02/2025","https://pergamum.anac.gov.br/arquivos/PA2015-0437.pdf"," ","","não"
4432,"RJ0204","",1,"Privado","Munich Audi","RIO DE JANEIRO","RJ","Brasil","","","23°00'02,0""S","043°22'37,0""W","4 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
14266,"MT0833","",1,"Privado","Fazenda Tanabí","PORTO ESPERIDIÃO","MT","Brasil","","","15°41'37,0""S","058°37'25,0""W","210 m","VFR","Sem Operação",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","28/04/2033","https://pergamum.anac.gov.br/arquivos/PA2023-11.097.pdf"," ","","sim"
5658,"RS0151","",1,"Privado","Aeroparque Vida Capingui","MARAU","RS","Brasil","","","28°20'55,0""S","052°11'58,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
5718,"CE0128","",1,"Privado","Croatá","SÃO GONÇALO DO AMARANTE","CE","Brasil","","","03°40'18,4""S","039°11'45,6""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
10882,"MS0607","",1,"Privado","AERÓDROMO FAZENDA PIRACICABA","IGUATEMI","MS","Brasil","","","23°32'43,0""S","054°21'39,0""W","366 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","16/09/2032","https://pergamum.anac.gov.br/arquivos/PA2022-8994.pdf"," ","","não"
13062,"MT0801","",1,"Privado","FAZENDA TRÊS IRMÃOS","JURUENA","MT","Brasil","","","10°13'31,0""S","058°42'07,0""W","225 m","VFR","Sem Operação",16201,"04/22","900 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","04 - ; 22 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","23/12/2031","https://pergamum.anac.gov.br/arquivos/PA2021-6656.pdf"," ","","sim"
