"Id do Aeródromo","CIAD","Código OACI","Id to Tipo de Uso","Tipo de Uso","Nome","Município","UF","País","Município Servido","UF Servido","Latitude","Longitude","Altitude","Operação Diurna","Operação Noturna","Id da Pista 1","Designação (Pista 1)","Comprimento (Pista 1)","Largura (Pista 1)","Resistência (Pista 1)","Superfície (Pista 1)","Aeronave Crítica (Pista 1)","Tipo Operação por Cabeceira (Pista 1)","Luzes de Eixo de Pista (Pista 1)","Luzes de Borda de Pista (Pista 1)","Id da Pista 2","Designação (Pista 2)","Comprimento (Pista 2)","Largura (Pista 2)","Resistência (Pista 2)","Superfície (Pista 2)","Aeronave Crítica (Pista 2)","Tipo Operação por Cabeceira (Pista 2)","Luzes de Eixo de Pista (Pista 2)","Luzes de Borda de Pista (Pista 2)","Tipo de Cadastro","Situação","Classe RBAC 153","Perfil Operacional RBAC 153","Classe RBAC 107","Tipo de Operação Internacional (nomenclatura OACI)","Tipo de Operação Internacional (conforme AIP BRASIL)","Certificação Operacional","Portaria de Certificação","Validade do Cadastro","Portaria de Cadastro","Restrição","Referência Cautelar","Amazônia Legal"
1791,"PR0053","SIYM",1,"Privado","Fazenda Montesion","TOLEDO","PR","Brasil","","","24°52'53,8""S","053°45'17,1""W","582 m","VFR","Sem Operação",2708,"01/19","750 m","20 m","5000 Kg /   0,50 MPa","Grama","","01 - ; 19 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","25/01/2023","https://pergamum.anac.gov.br/arquivos/PA2016-1285.pdf"," ","","não"
1803,"RS0161","",1,"Privado","CMPC Fazenda da Bota","ENCRUZILHADA DO SUL","RS","Brasil","","","30°28'01,0""S","052°28'10,0""W","310 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","13/12/2031","https://pergamum.anac.gov.br/arquivos/PA2021-6563.pdf"," ","","não"
1863,"PE0060","",1,"Privado","Policia Rodoviária Federal - Recife","RECIFE","PE","Brasil","","","08°03'57,2""S","034°56'44,3""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
1899,"BA0320","",1,"Privado","Conjunto Pituba","SALVADOR","BA","Brasil","","","12°59'52,0""S","038°28'03,0""W","116 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
2103,"DF0016","SNCN",1,"Privado","Parque Cidade ","BRASÍLIA","DF","Brasil","","","15°47'44,0""S","047°53'37,0""W","1175 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","05/11/2031","https://pergamum.anac.gov.br/arquivos/PA2021-6260.pdf"," ","","não"
2163,"RJ0108","SJMB",1,"Privado","Fazenda Mombaça","ANGRA DOS REIS","RJ","Brasil","","","23°00'59,0""S","044°17'20,0""W","39 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","17/06/2031","https://pergamum.anac.gov.br/arquivos/PA2021-5169.pdf"," ","","não"
800,"GO0087","SJUC",1,"Privado","Fazenda Santa Cruz","PADRE BERNARDO","GO","Brasil","","","15°22'19,0""S","048°12'23,0""W","761 m","VFR","Sem Operação",3249,"05/23","830 m","16 m","5700 Kg /   0,50 MPa","Asfalto","","05 - ; 23 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","17/10/2026","https://pergamum.anac.gov.br/arquivos/PA2016-2565.pdf"," ","","não"
237,"SC0011","SSVI",2,"Público","Ângelo Ponzoni","VIDEIRA","SC","Brasil","Videira","SC","26°59'59,0""S","051°08'29,0""W","843 m","VFR","Sem Operação",852,"10/28","1400 m","23 m","11/F/A/Y/T","Asfalto","","10 - Visual; 28 - Visual",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"Outras Operações","AP-0","","","não","","08/01/2029","https://pergamum.anac.gov.br/arquivos/PA2018-3718.pdf"," ","","não"
1360,"PE0090","",1,"Privado","Pedra do Rodeadouro","BONITO","PE","Brasil","","","08°31'31,5""S","035°44'25,1""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
1372,"RO0059","",1,"Privado","Irmãos Gonçalves","JARU","RO","Brasil","","","10°25'24,0""S","062°31'02,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","sim"
1456,"MT0349","SWHZ",1,"Privado","Fazenda Taquaruçu Retiro","CARLINDA","MT","Brasil","","","10°20'15,0""S","055°57'34,0""W","286 m","VFR","Sem Operação",3257,"05/23","800 m","20 m","5700 Kg /   0,50 MPa","Grama","","05 - ; 23 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","23/06/2033","https://pergamum.anac.gov.br/arquivos/PA2023-11.603.pdf"," ","","sim"
1540,"MT0442","SWYY",1,"Privado","Fazenda Nova Viena","BARRA DO GARÇAS","MT","Brasil","","","14°53'10,0""S","052°16'41,0""W","297 m","VFR","Sem Operação",4647,"18/36","1300 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","18 - ; 36 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","",""," ","","sim"
324,"GO0003","SBCN",2,"Público","Nelson Rodrigues Guimarães","CALDAS NOVAS","GO","Brasil","Caldas Novas","GO","17°43'30,0""S","048°36'23,0""W","703 m","VFR / IFR","VFR / IFR",2038,"09/27","2110 m","45 m","35/F/A/X/T","Asfalto","","09 - IFR Não Precisão; 27 - IFR Não Precisão",0,1,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"RBAC 121","AP-1","","","não","","03/04/2033","https://pergamum.anac.gov.br/arquivos/PA2023-10850.pdf"," ","","não"
384,"MG0055","SNUN",2,"Público","Unaí","UNAÍ","MG","Brasil","Unaí","MG","16°21'14,0""S","046°55'37,0""W","600 m","VFR","Sem Operação",2071,"17/35","1185 m","30 m","10/F/C/X/U","Asfalto","","17 - Visual; 35 - Visual",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"Outras Operações","AP-0","","","não","","17/11/2032","https://pergamum.anac.gov.br/arquivos/PA2022-9737.pdf"," ","","não"
564,"SP0054","SDFD",2,"Público","Coronel Aviador Carlos Orleans Guimarães","FERNANDÓPOLIS","SP","Brasil","Fernandópolis","SP","20°16'36,0""S","050°12'50,0""W","499 m","","",1861,"08/26","1000 m","25 m","16/F/A/X/T","Asfalto","","08 - Visual; 26 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"Outras Operações","AP-0","","","não","","02/05/2028","https://pergamum.anac.gov.br/arquivos/PA2018-1338.pdf"," ","","não"
1656,"PA0151","SWXO",1,"Privado","Fazenda Porto Seguro","SÃO FÉLIX DO XINGU","PA","Brasil","","","07°07'54,0""S","052°43'38,0""W","244 m","VFR","Sem Operação",4067,"03/21","1000 m","30 m","3000 Kg /   0,30 MPa","Cascalho","","03 - ; 21 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","18/08/2033","https://pergamum.anac.gov.br/arquivos/PA2023-12.134.pdf"," ","","sim"
1752,"PA0195","",1,"Privado","Nova Aliança","ITAITUBA","PA","Brasil","","","05°57'34,0""S","056°27'14,0""W","198 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","sim"
4766,"MA0046","SSFQ",1,"Privado","Fazenda Canoa Quebrada","GRAJAÚ","MA","Brasil","","","05°56'17,0""S","046°14'56,0""W","291 m","VFR","Sem Operação",4532,"02/20","1200 m","23 m","4000 Kg /   0,50 MPa","Cascalho","","02 - ; 20 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","20/07/2028","https://pergamum.anac.gov.br/arquivos/PA2018-2190.pdf"," ","","sim"
4802,"SC0112","SDZP",1,"Privado","Ninho do Pássaro III","INDAIAL","SC","Brasil","","","26°53'07,0""S","049°14'35,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","29/07/2030","https://pergamum.anac.gov.br/arquivos/PA2020-1781.pdf"," ","","não"
4838,"AM0073","",1,"Privado","Base de Apoio Itapiranga","SILVES","AM","Brasil","","","02°41'52,0""S","058°15'41,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","sim"
4946,"SP1210","",1,"Privado","Avibras","SÃO JOSÉ DOS CAMPOS","SP","Brasil","","","23°14'18,0""S","045°50'58,0""W","656 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
4970,"AM0063","SNDJ",1,"Privado","Pousada Sucunduri","BORBA","AM","Brasil","","","05°35'36,0""S","059°33'02,0""W","49 m","VFR","Sem Operação",7521,"14/32","1200 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","14 - Visual; 32 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","22/07/2030","https://pergamum.anac.gov.br/arquivos/PA2020-1782.pdf"," ","","sim"
5030,"PR0117","SJBV",1,"Privado","Rio Verde/Mercosul","CAMPO LARGO","PR","Brasil","","","25°27'27,0""S","049°27'53,0""W","896 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","25/03/2031","https://pergamum.anac.gov.br/arquivos/PA2021-4410.pdf"," ","","não"
5138,"MG0317","",1,"Privado","Ipatinga Tower","IPATINGA","MG","Brasil","","","19°29'40,0""S","042°33'52,0""W","339 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
5198,"SP1199","",1,"Privado","Vale da Paz","SÃO ROQUE","SP","Brasil","","","23°38'29,0""S","047°05'00,0""W","888 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
5282,"AL0021","SIYP",1,"Privado","Empresarial Delman","MACEIÓ","AL","Brasil","","","09°40'26,0""S","035°43'07,0""W","37 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","03/02/2031","https://pergamum.anac.gov.br/arquivos/PA2019-2117.pdf"," ","","não"
5582,"PA0218","",1,"Privado","Fazenda Chão Preto","AURORA DO PARÁ","PA","Brasil","","","02°15'54,0""S","047°35'26,0""W","67 m","VFR","Sem Operação",4165,"11/29","1300 m","23 m","5700 Kg /   0,50 MPa","Asfalto","","11 - ; 29 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","sim"
2197,"GO0121","SWFA",1,"Privado","Fazenda Pamplona","CRISTALINA","GO","Brasil","","","16°13'03,0""S","047°37'36,0""W","1000 m","VFR","Sem Operação",2625,"03/21","1200 m","18 m","25/F/C/Z/U","Asfalto","","03 - Visual; 21 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","11/09/2024","https://pergamum.anac.gov.br/arquivos/PA2021-4172.pdf"," ","","não"
2305,"RS0158","",1,"Privado","COMANDANTE FLORES","VALE VERDE","RS","Brasil","","","29°46'45,0""S","052°10'09,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
2341,"SP0967","",1,"Privado","Alpha","SÃO PAULO","SP","Brasil","","","23°37'00,0""S","046°42'44,0""W","779 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
2425,"BA0261","SSFP",1,"Privado","Fazenda Porto Rancho","SANTA CRUZ CABRÁLIA","BA","Brasil","","","16°22'25,0""S","039°19'13,0""W","114 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","03/07/2029","https://pergamum.anac.gov.br/arquivos/PA2019-1929.pdf"," ","","não"
2509,"MG0173","SNZH",1,"Privado","Fazenda Novo Horizonte","JAÍBA","MG","Brasil","","","15°25'56,0""S","043°54'41,0""W","542 m","VFR","Sem Operação",3531,"12/30","1000 m","18 m","5700 Kg /   0,62 MPa","Asfalto","","12 - ; 30 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","14/08/2033","https://pergamum.anac.gov.br/arquivos/PA2023-12.018.pdf"," ","","não"
2749,"RR0093","SJYJ",1,"Privado","Aratha-ú","ALTO ALEGRE","RR","Brasil","","","03°09'39,0""N","063°46'53,0""W","72 m","VFR","Sem Operação",4089,"08/26","650 m","30 m","3000 Kg /   0,50 MPa","Grama","","08 - ; 26 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","09/02/2033","https://pergamum.anac.gov.br/arquivos/PA2023-10.458.pdf"," ","","sim"
2929,"PI0060","",1,"Privado","Fazenda Alvorada","GILBUÉS","PI","Brasil","","","09°22'28,0""S","045°13'53,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
1847,"PR0103","SDKB",1,"Privado","CJB Curitiba","CURITIBA","PR","Brasil","","","25°26'17,0""S","049°14'26,0""W","945 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","23/04/2025","https://pergamum.anac.gov.br/arquivos/PA2015-0973.pdf"," ","","não"
1919,"MT0376","SWOZ",1,"Privado","Fazenda Santo Antônio","CAMPO VERDE","MT","Brasil","","","15°18'38,0""S","054°53'57,0""W","654 m","VFR","VFR",4593,"01/19","1200 m","30 m","22/F/C/X/T","Asfalto","","01 - ; 19 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","14/09/2032","https://pergamum.anac.gov.br/arquivos/PA2022-9096.pdf"," ","","sim"
2039,"BA0225","SSZI",1,"Privado","Cidadelle","ILHÉUS","BA","Brasil","","","14°47'12,0""S","039°14'44,0""W","43 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","16/09/2024","https://pergamum.anac.gov.br/arquivos/PA2014-2172.pdf"," ","","não"
2147,"RJ0097","SJCE",1,"Privado","Convem","MAGÉ","RJ","Brasil","","","22°39'37,0""S","043°09'30,0""W","17 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","11/04/2026","https://pergamum.anac.gov.br/arquivos/PA2016-0865.pdf"," ","","não"
832,"GO0150","SWXK",1,"Privado","Fazenda Santa Thereza","APARECIDA DO RIO DOCE","GO","Brasil","","","18°13'58,0""S","051°12'07,9""W","655 m","VFR","Sem Operação",4319,"13/31","1000 m","30 m","5600 Kg /   0,50 MPa","Terra","","13 - ; 31 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","16/09/2024","https://pergamum.anac.gov.br/arquivos/PA2014-2177.pdf"," ","","não"
892,"MG0133","SJUA",1,"Privado","Fazenda ABC","BURITIS","MG","Brasil","","","15°22'25,7""S","046°19'52,4""W","586 m","VFR","Sem Operação",3420,"01/19","840 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","01 - ; 19 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","02/12/2025","https://pergamum.anac.gov.br/arquivos/PA2015-3183.pdf"," ","","não"
928,"AL0033","",1,"Privado","Fábrica da Pedra","DELMIRO GOUVEIA","AL","Brasil","","","09°22'24,0""S","038°01'23,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
69,"CE0003","SBJE",2,"Público","Comandante Ariston Pessoa","CRUZ","CE","Brasil","Cruz","CE","02°54'24,0""S","040°21'29,0""W","27 m","VFR / IFR","VFR / IFR",868,"08/26","2200 m","45 m","62/F/B/W/T","Asfalto","4D","08 - IFR Não Precisão; 26 - IFR Não Precisão",0,1,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"","AP-1","","","sim","https://pergamum.anac.gov.br/arquivos/PA2019-0618.pdf","17/11/2027","https://pergamum.anac.gov.br/arquivos/PA2017-3750.pdf"," ","","não"
116,"MG0069","SWUD",2,"Público","Deputado Oswaldo Tolentino","CLÁUDIO","MG","Brasil","Cláudio","MG","20°26'45,0""S","044°48'47,0""W","820 m","","",881,"12/30","1000 m","30 m","15/F/B/Y/T","Asfalto","","12 - Visual; 30 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"Outras Operações","AP-0","","","não","","27/05/2030","https://pergamum.anac.gov.br/arquivos/PA2020-1389.pdf","Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato). - Proibidas as operações de pouso de aeronaves a jato na RWY 30.","https://pergamum.anac.gov.br/arquivos/.pdf","não"
251,"SP0018","SDBB",2,"Público","Bebedouro","BEBEDOURO","SP","Brasil","Bebedouro","SP","20°54'01,0""S","048°28'25,0""W","592 m","","",1073,"13/31","1500 m","23 m","15/F/A/X/T","Asfalto","","13 - Visual; 31 - Visual",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"Outras Operações","AP-0","","","não","","17/04/2024","https://pergamum.anac.gov.br/arquivos/PA2014-924.pdf"," ","","não"
1164,"MS0375","SWGC",1,"Privado","Agricenter","PONTA PORÃ","MS","Brasil","","","22°37'26,0""S","055°34'08,0""W","625 m","VFR","Sem Operação",3364,"13/31","800 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","13 - ; 31 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","29/03/2033","https://pergamum.anac.gov.br/arquivos/PA2023-10.781.pdf"," ","","não"
1212,"MT0058","SDQZ",1,"Privado","Fazenda Espinhaço II","BARRA DO GARÇAS","MT","Brasil","","","15°23'50,0""S","052°04'29,0""W","302 m","VFR","Sem Operação",4271,"11/29","1200 m","20 m","5000 Kg /   0,50 MPa","Cascalho","","11 - ; 29 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","17/01/2024","https://pergamum.anac.gov.br/arquivos/PA2014-0113.pdf"," ","","sim"
1236,"MT0094","SIFT",1,"Privado","Fazenda Travessão","VILA BELA DA SANTÍSSIMA TRINDADE","MT","Brasil","","","16°08'40,0""S","060°07'13,0""W","265 m","VFR","Sem Operação",2780,"01/19","1000 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","01 - ; 19 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","",""," ","","sim"
1809,"PR0068","SNUA",1,"Privado","Fazenda Paulista","SANTA TEREZINHA DE ITAIPU","PR","Brasil","","","25°23'30,0""S","054°24'36,0""W","252 m","VFR","Sem Operação",4786,"02/20","1048 m","42 m","3000 Kg /   0,50 MPa","Grama","","02 - Visual; 20 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","23/03/2031","https://pergamum.anac.gov.br/arquivos/PA2021-4448.pdf"," ","","não"
1845,"PR0102","SDEQ",1,"Privado","Quatro Barras","QUATRO BARRAS","PR","Brasil","","","25°22'36,0""S","049°05'05,0""W","927 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","16/07/2025","https://pergamum.anac.gov.br/arquivos/PA2015-1847.pdf"," ","","não"
1953,"TO0070","",1,"Privado","Fazenda Alternativa","ALMAS","TO","Brasil","","","11°13'48,0""S","047°09'57,0""W","496 m","VFR","Sem Operação",11741,"18/36","1100 m","24 m","5600 Kg /   0,50 MPa","Terra","","18 - Visual; 36 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","23/03/2031","https://pergamum.anac.gov.br/arquivos/PA2021-4439.pdf"," ","","sim"
2013,"MG0424","",1,"Privado","São Gonçalo do Rio Abaixo","SÃO GONÇALO DO RIO ABAIXO","MG","Brasil","","","19°43'30,5""S","043°20'54,6""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
2145,"GO0048","SIGN",1,"Privado","ACGC","MIMOSO DE GOIÁS","GO","Brasil","","","15°02'43,0""S","048°13'56,0""W","26 m","VFR","Sem Operação",2721,"10/28","1140 m","30 m","5700 Kg /   0,50 MPa","Terra","","10 - ; 28 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","09/10/2025","https://pergamum.anac.gov.br/arquivos/PA2015-2660.pdf"," ","","não"
638,"MS0201","SNCG",1,"Privado","Fazenda Cedro","CAMPO GRANDE","MS","Brasil","","","20°45'43,0""S","054°26'52,0""W","564 m","","",4367,"17/35","800 m","25 m","5700 Kg /   0,50 MPa","Terra","","17 - ; 35 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","16/09/2024","https://pergamum.anac.gov.br/arquivos/PA2014-2187.pdf"," ","","não"
269,"SP0058","SDKK",2,"Público","Mococa","MOCOCA","SP","Brasil","Mococa","SP","21°29'14,0""S","047°02'02,0""W","651 m","","",1005,"04/22","1000 m","30 m","8/F/C/Y/U","Terra","","04 - Visual; 22 - Visual",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Interditado",1,"Outras Operações","AP-0","","","não","","25/01/2032","https://pergamum.anac.gov.br/arquivos/PA2022-6996.pdf"," ","","não"
1162,"MS0370","SWER",1,"Privado","Fazenda Entre Rios","PORTO MURTINHO","MS","Brasil","","","21°21'31,0""S","057°06'05,0""W","286 m","VFR","Sem Operação",3634,"10/28","1100 m","20 m","3000 Kg /   0,50 MPa","Terra","","10 - ; 28 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","",""," ","","não"
1174,"MS0389","",1,"Privado","Fazenda Marialva","NAVIRAÍ","MS","Brasil","","","23°01'07,0""S","053°58'49,0""W","303 m","","",3191,"14/32","900 m","18 m","5000 Kg /   0,50 MPa","Cascalho","","14 - ; 32 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","14/10/2032","https://pergamum.anac.gov.br/arquivos/PA2022-9407.pdf"," ","","não"
1210,"SP1180","",1,"Privado","New Marginal","SÃO PAULO","SP","Brasil","","","23°38'03,1""S","046°43'01,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
1342,"AL0035","",1,"Privado","Valdo Costa","MARAGOGI","AL","Brasil","","","08°55'03,5""S","035°09'51,4""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
1414,"MT0297","SSMI",1,"Privado","Fazenda São Miguel","CAMPO VERDE","MT","Brasil","","","15°21'33,0""S","054°58'48,0""W","673 m","VFR","Sem Operação",3677,"05/23","1100 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","05 - ; 23 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","14/03/2028","https://pergamum.anac.gov.br/arquivos/PA2018-0792.pdf"," ","","sim"
1546,"MT0446","SWZG",1,"Privado","Fazenda Lagoa Encantada","PORTO ESPERIDIÃO","MT","Brasil","","","16°01'20,0""S","058°53'40,0""W","202 m","VFR","Sem Operação",4574,"14/32","1000 m","30 m","5700 Kg /   0,50 MPa","Grama","","14 - Visual; 32 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","28/09/2030","https://pergamum.anac.gov.br/arquivos/PA2020-2272.pdf"," ","","sim"
1618,"PA0108","SNVA",1,"Privado","Fazenda Bela Vista","CUMARU DO NORTE","PA","Brasil","","","07°59'15,0""S","050°37'54,0""W","316 m","VFR","Sem Operação",4262,"02/20","1230 m","30 m","5700 Kg /   0,50 MPa","Piçarra","","02 - ; 20 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","20/06/2032","https://pergamum.anac.gov.br/arquivos/PA2022-8224.pdf"," ","","sim"
282,"AC0004","SBTK",2,"Público","Tarauacá","TARAUACÁ","AC","Brasil","Tarauacá","AC","08°09'19,0""S","070°46'59,0""W","192 m","VFR","Sem Operação",2039,"15/33","1200 m","22 m","5700 Kg /   0,50 MPa","Asfalto","","15 - Visual; 33 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"Outras Operações","AP-0","","","não","","22/08/2033","https://pergamum.anac.gov.br/arquivos/PA2023-12151.pdf"," ","","sim"
1710,"BA0073","SDGX",1,"Privado","Morro de São Paulo","CAIRU","BA","Brasil","","","13°25'46,0""S","038°54'50,0""W","10 m","","",4724,"05/23","780 m","18 m","5600 Kg /   0,50 MPa","Concreto","","05 - ; 23 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","09/02/2025","https://pergamum.anac.gov.br/arquivos/PA2015-0311.pdf"," ","","não"
4760,"SP0269","SWAM",1,"Privado","Fazenda Agropecuária Gomes","TAQUARITUBA","SP","Brasil","","","23°38'53,0""S","049°09'01,0""W","660 m","VFR","Sem Operação",2588,"04/22","900 m","25 m","5700 Kg /   0,62 MPa","Grama","","04 - Visual; 22 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","28/12/2030","https://pergamum.anac.gov.br/arquivos/PA2020-3617.pdf"," ","","não"
4928,"SP1066","",1,"Privado","Cantareira Golf Club","MAIRIPORÃ","SP","Brasil","","","23°24'10,0""S","046°38'01,0""W","1006 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
5108,"MT0513","SJYZ",1,"Privado","Fazenda Gaúcha","CAMPO NOVO DO PARECIS","MT","Brasil","","","13°43'23,0""S","057°37'14,0""W","559 m","VFR","Sem Operação",3217,"11/29","900 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","11 - ; 29 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","17/07/2029","https://pergamum.anac.gov.br/arquivos/PA2019-2115.pdf"," ","","sim"
